,Red,R_Height_cms,Blue,B_Height_cms,height_dif,ganador,ganador_height
1487,Leandro Issa,170.18,Ulka Sasaki,177.8,7.62,Leandro Issa,alto
1488,Vitor Miranda,185.42,Jake Collier,190.5,5.08,Vitor Miranda,alto
1489,Rafael Dos Anjos,172.72,Nate Diaz,182.88,10.16,Rafael Dos Anjos,alto
1490,Alistair Overeem,193.04,Stefan Struve,210.82,17.78,Alistair Overeem,alto
1491,John Moraga,167.64,Willie Gates,172.72,5.08,John Moraga,alto
1492,David Michaud,175.26,Garett Whiteley,182.88,7.62,David Michaud,alto
1493,Henry Cejudo,162.56,Dustin Kimura,170.18,7.62,Henry Cejudo,alto
1494,Carla Esparza,154.94,Rose Namajunas,165.1,10.16,Carla Esparza,alto
1495,Aisling Daly,157.48,Alex Chambers,160.02,2.54,Aisling Daly,alto
1496,Todd Duffee,190.5,Anthony Hamilton,195.58,5.08,Todd Duffee,alto
1497,Urijah Faber,167.64,Francisco Rivera,172.72,5.08,Urijah Faber,alto
1498,Raquel Pennington,170.18,Ashlee Evans-Smith,172.72,2.54,Raquel Pennington,alto
1499,Sergio Pettis,167.64,Matt Hobar,177.8,10.16,Sergio Pettis,alto
1500,Frankie Edgar,167.64,Cub Swanson,172.72,5.08,Frankie Edgar,alto
1501,Joseph Benavidez,162.56,Dustin Ortiz,165.1,2.54,Joseph Benavidez,alto
1502,Alejandro Perez,167.64,Jose Quinonez,172.72,5.08,Alejandro Perez,alto
1503,Jessica Eye,167.64,Leslie Smith,175.26,7.62,Jessica Eye,alto
1504,Gabriel Benitez,172.72,Humberto Brown,177.8,5.08,Gabriel Benitez,alto
1505,Warlley Alves,180.34,Alan Jouban,182.88,2.54,Warlley Alves,alto
1506,Claudio Silva,180.34,Leon Edwards,182.88,2.54,Claudio Silva,alto
1507,Caio Magalhaes,185.42,Trevor Smith,190.5,5.08,Caio Magalhaes,alto
1508,Leandro Silva,175.26,Charlie Brenneman,177.8,2.54,Leandro Silva,alto
1509,Robert Whittaker,182.88,Clint Hester,187.96,5.08,Robert Whittaker,alto
1510,Soa Palelei,193.04,Walt Harris,195.58,2.54,Soa Palelei,alto
1511,Fabio Maldonado,185.42,Hans Stringer,190.5,5.08,Fabio Maldonado,alto
1512,Darren Elkins,177.8,Lucas Martins,182.88,5.08,Darren Elkins,alto
1513,Raphael Assuncao,165.1,Bryan Caraway,172.72,7.62,Raphael Assuncao,alto
1514,Mitch Gagnon,165.1,Roman Salazar,170.18,5.08,Mitch Gagnon,alto
1515,Daron Cruickshank,172.72,Anthony Njokuani,185.42,12.7,Daron Cruickshank,alto
1516,Olivier Aubin-Mercier,175.26,Jake Lindsey,180.34,5.08,Olivier Aubin-Mercier,alto
1517,Albert Tumenov,180.34,Matt Dwyer,193.04,12.7,Albert Tumenov,alto
1518,Nico Musoke,182.88,Alexander Yakovlev,190.5,7.62,Nico Musoke,alto
1519,Dennis Siver,167.64,Charles Rosa,175.26,7.62,Dennis Siver,alto
1520,Mairbek Taisumov,175.26,Marcin Bandel,177.8,2.54,Mairbek Taisumov,alto
